dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,pca,5,silhouette,kmeans,30,0.708
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,pca,5,CH,kmeans,78,86931.315
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,pca,5,silhouette,gmm,70,0.729
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,pca,5,CH,gmm,82,58502.634
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,pca,10,silhouette,kmeans,26,0.683
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,pca,10,CH,kmeans,82,33295.142
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,pca,10,silhouette,gmm,38,0.666
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,pca,10,CH,gmm,42,20751.232
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,pca,30,silhouette,kmeans,22,0.163
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,pca,30,CH,kmeans,26,1353.619
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,pca,30,silhouette,gmm,26,0.151
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,pca,30,CH,gmm,4,1300.935
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,pca,55,silhouette,kmeans,26,0.155
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,pca,55,CH,kmeans,26,1116.934
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,pca,55,silhouette,gmm,28,0.132
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,pca,55,CH,gmm,28,1062.984
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,ica,5,silhouette,kmeans,30,0.708
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,ica,5,CH,kmeans,78,86931.315
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,ica,5,silhouette,gmm,66,0.733
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,ica,5,CH,gmm,46,65752.791
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,ica,10,silhouette,kmeans,26,0.683
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,ica,10,CH,kmeans,82,33295.142
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,ica,10,silhouette,gmm,38,0.673
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,ica,10,CH,gmm,82,26569.891
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,ica,40,silhouette,kmeans,2,0.687
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,ica,40,CH,kmeans,28,1442.352
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,ica,40,silhouette,gmm,28,0.155
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,ica,40,CH,gmm,28,1304.073
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,ica,57,silhouette,kmeans,28,0.146
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,ica,57,CH,kmeans,28,1092.156
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,ica,57,silhouette,gmm,28,0.162
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,ica,57,CH,gmm,28,1143.704
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,rp,5,silhouette,kmeans,82,0.754
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,rp,5,CH,kmeans,82,336326.281
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,rp,5,silhouette,gmm,26,0.716
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,rp,5,CH,gmm,82,179277.463
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,rp,10,silhouette,kmeans,58,0.653
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,rp,10,CH,kmeans,78,33241.428
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,rp,10,silhouette,gmm,66,0.618
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,rp,10,CH,gmm,2,23974.234
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,rp,30,silhouette,kmeans,2,0.179
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,rp,30,CH,kmeans,2,3182.351
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,rp,30,silhouette,gmm,2,0.179
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,rp,30,CH,gmm,2,2741.942
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,rp,40,silhouette,kmeans,26,0.137
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,rp,40,CH,kmeans,2,2941.950
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,rp,40,silhouette,gmm,28,0.122
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,rp,40,CH,gmm,2,2661.639
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,rp,57,silhouette,kmeans,28,0.152
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,rp,57,CH,kmeans,2,2735.239
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,rp,57,silhouette,gmm,2,0.275
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,rp,57,CH,gmm,2,1727.794
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,lda,5,silhouette,kmeans,2,0.756
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,lda,5,CH,kmeans,82,3024813.620
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,lda,5,silhouette,gmm,2,0.756
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,lda,5,CH,gmm,78,2048233.493
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,lda,10,silhouette,kmeans,2,0.756
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,lda,10,CH,kmeans,82,3024813.620
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,lda,10,silhouette,gmm,2,0.756
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds1,lda,10,CH,gmm,78,2048233.493
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,lda,30,silhouette,kmeans,2,0.598
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,lda,30,CH,kmeans,28,526732.111
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,lda,30,silhouette,gmm,4,0.605
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,lda,30,CH,gmm,28,507902.606
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,lda,40,silhouette,kmeans,2,0.598
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,lda,40,CH,kmeans,28,526732.111
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,lda,40,silhouette,gmm,4,0.605
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,lda,40,CH,gmm,28,507902.606
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,lda,57,silhouette,kmeans,2,0.598
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,lda,57,CH,kmeans,28,526732.111
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,lda,57,silhouette,gmm,4,0.605
dataset,reducer,ncomp,measure,algo,bestk,bestscore
ds4,lda,57,CH,gmm,28,507902.606
