"Dataset","Xval Accuracy","Xval Precision","Xval F1 Score","Xval Recall","Xval Aggregate","Test Set Accuracy","Test Set Precision","Test Set F1 Score","Test Set Recall","Test Set Aggregate","Train Time"
"ds4 (Unmodified)",0.885,0.871,0.827,0.799,0.846,0.845,0.803,0.765,0.743,0.789,154.79517817497253
"ds4 (pca_30d)",0.870,0.829,0.815,0.803,0.829,0.849,0.797,0.784,0.773,0.801,126.17468476295471
"ds4 (pca_55d)",0.892,0.849,0.853,0.857,0.863,0.838,0.778,0.778,0.779,0.793,231.06218481063843
"ds4 (ica_40d)",0.840,0.789,0.766,0.749,0.786,0.839,0.788,0.762,0.745,0.784,49.255122661590576
"ds4 (ica_57d)",0.850,0.811,0.775,0.754,0.797,0.568,0.528,0.512,0.538,0.536,40.25885057449341
"ds4 (rp_30d)",0.876,0.837,0.822,0.811,0.837,0.848,0.798,0.783,0.771,0.800,155.97638654708862
"ds4 (rp_40d)",0.878,0.843,0.825,0.811,0.839,0.848,0.798,0.781,0.768,0.799,110.5900776386261
"ds4 (rp_57d)",0.881,0.855,0.825,0.805,0.842,0.845,0.797,0.770,0.752,0.791,130.15832805633545
"ds4 (lda_30d)",0.841,0.790,0.767,0.751,0.787,0.842,0.791,0.768,0.752,0.788,45.61694288253784
"ds4 (lda_40d)",0.841,0.790,0.767,0.751,0.787,0.842,0.791,0.768,0.752,0.788,45.66824817657471
"ds4 (lda_57d)",0.841,0.790,0.767,0.751,0.787,0.842,0.791,0.768,0.752,0.788,36.64154553413391
"ds1 (Unmodified)",0.815,0.834,0.791,0.778,0.804,0.798,0.814,0.773,0.761,0.787,703.2312424182892
"ds1 (pca_5d)",0.796,0.817,0.767,0.755,0.784,0.782,0.804,0.749,0.738,0.768,649.6259684562683
"ds1 (pca_10d)",0.808,0.829,0.782,0.769,0.797,0.795,0.816,0.767,0.755,0.783,544.6156647205353
"ds1 (ica_5d)",0.768,0.792,0.731,0.721,0.753,0.765,0.795,0.724,0.715,0.750,302.78720450401306
"ds1 (ica_10d)",0.790,0.829,0.753,0.741,0.778,0.787,0.826,0.750,0.738,0.775,480.24673295021057
"ds1 (rp_5d)",0.729,0.769,0.668,0.667,0.708,0.725,0.763,0.663,0.663,0.704,192.01642227172852
"ds1 (rp_10d)",0.811,0.834,0.785,0.772,0.800,0.797,0.819,0.768,0.755,0.785,778.0225956439972
"ds1 (lda_5d)",0.764,0.802,0.720,0.711,0.749,0.765,0.802,0.720,0.711,0.749,163.1223750114441
"ds1 (lda_10d)",0.764,0.802,0.720,0.711,0.749,0.765,0.802,0.720,0.711,0.749,164.81114745140076
